Technique,Mean,Count,Loss From Outliers,STDEV,STDERR
Slide,1960.716,750,18,534.0491301,19.50071702
Flick,1924.240741,756,12,455.9684377,16.58341175
SurfaceFF,2045.490145,761,8,609.3796567,22.0899953
AboveFF,1481.367862,753,15,656.6200276,23.92856402
ElectroTouch,1306.411609,758,10,422.8215689,15.35757095
